rank;country;population2023;yearlychange;netchange;density;land area;migrants;fert.rate;medianage;urbanpop%;worldshare;population_share
23;France;64756584;;129956;118;547557;67761;1.8;42.0;;;0.008050394845189157
184;French Guiana;312155;;7598;4;82200;1200;3.4;24.0;;;3.880641701081733e-05
185;French Polynesia;308872;;2593;84;3660;-100;1.7;34.0;;;3.8398281734923904e-05
146;Gabon;2436566;;47574;9;257670;1000;3.4;22.0;;;0.00030290847902605803
141;Gambia;2773168;;67176;274;10120;-3000;4.5;17.0;;;0.00034475409283546405
132;Georgia;3728282;;-16103;54;69490;-9999;2.1;37.0;;;0.0004634917461707295
19;Germany;83294633;;-75210;239;348560;155751;1.5;45.0;;;0.01035500396585346
47;Ghana;34121985;;646115;150;227540;-9999;3.5;21.0;;;0.004241969467562121
217;Gibraltar;32688;;39;3269;10;-24;1.8;42.0;;;4.06369963399464e-06
91;Greece;10341277;;-43694;80;128900;5000;1.4;45.0;;;0.0012856046120881422
206;Greenland;56643;;177;0;410450;-100;1.9;35.0;;;7.041732084200881e-06
194;Grenada;126183;;745;371;340;-200;2.0;32.0;;;1.5686790593378173e-05
179;Guadeloupe;395839;;87;234;1690;-800;2.0;42.0;;;4.920982621820865e-05
192;Guam;172952;;1178;320;540;-500;2.5;30.0;;;2.150100890536714e-05
70;Guatemala;18092026;;248118;169;107160;-9110;2.3;23.0;;;0.0022491605309110842
75;Guinea;14190612;;331271;58;245720;-4000;4.2;18.0;;;0.0017641453986343596
148;Guinea-Bissau;2150842;;45276;76;28120;-1400;3.8;19.0;;;0.0002673879052918594
164;Guyana;813834;;5108;4;196850;-3900;2.3;26.0;;;0.00010117403719812757
81;Haiti;11724763;;139767;425;27560;-31811;2.7;23.0;;;0.0014575965220195149
234;Holy See;518;;8;1295;0;0;;;;;6.439661069533846e-08
88;Honduras;10593798;;160938;95;111890;-5034;2.3;24.0;;;0.0013169974625309947
104;Hong Kong;7491609;;2744;7135;1050;19999;0.8;46.0;;;0.0009313402089858955
94;Hungary;10156239;;188931;112;90530;-156677;1.6;42.0;;;0.0012626010984784046
180;Iceland;375318;;2419;4;100250;380;1.7;36.0;;;4.665870102886687e-05
1;India;1428627663;;11454490;481;2973190;-486136;2.0;28.0;;;0.17760382131815095
4;Indonesia;277534122;;2032783;153;1811570;-49997;2.1;30.0;;;0.0345024262724065
17;Iran;89172767;;622197;55;1628550;-39998;1.7;33.0;;;0.011085760542712595
35;Iraq;45504560;;1008438;105;434320;-6000;3.4;20.0;;;0.005657025936646082
